Date,Product Name,Quantity Sold,Unit Price,Total Sales
2024-01-05,Zingers,50,2.99,149.50
2024-01-12,Zingers,30,2.99,89.70
2024-01-18,Other Snack,25,3.50,87.50
2024-01-25,Zingers,45,2.99,134.55
2024-02-03,Zingers,60,2.99,179.40
2024-02-10,Zingers,35,2.99,104.65
2024-02-15,Other Snack,40,3.50,140.00
2024-02-28,Zingers,55,2.99,164.45
2024-03-05,Zingers,70,2.99,209.30
2024-03-12,Zingers,42,2.99,125.58
2024-03-20,Other Snack,30,3.50,105.00
2024-03-28,Zingers,48,2.99,143.52
2024-04-02,Zingers,65,2.99,194.35
2024-04-10,Zingers,38,2.99,113.62
2024-04-18,Other Snack,35,3.50,122.50
2024-04-25,Zingers,52,2.99,155.48
2024-05-03,Zingers,58,2.99,173.42
2024-05-11,Zingers,44,2.99,131.56
2024-05-19,Other Snack,28,3.50,98.00
2024-05-27,Zingers,50,2.99,149.50
